UniqueID_v2,ni_total,nt_total,nt_ti_stenocold,nt_ti_cold,nt_ti_cool,nt_ti_warm,nt_ti_stenowarm,nt_ti_eury,nt_ti_cowa,nt_ti_na,nt_ti_stenocold_cold,nt_ti_stenocold_cold_cool,nt_ti_cowa_warm_stenowarm,nt_ti_warm_stenowarm,pi_ti_stenocold,pi_ti_cold,pi_ti_cool,pi_ti_warm,pi_ti_stenowarm,pi_ti_eury,pi_ti_cowa,pi_ti_na,pi_ti_stenocold_cold,pi_ti_stenocold_cold_cool,pi_ti_cowa_warm_stenowarm,pi_ti_warm_stenowarm,pt_ti_stenocold,pt_ti_cold,pt_ti_cool,pt_ti_warm,pt_ti_stenowarm,pt_ti_eury,pt_ti_cowa,pt_ti_na,pt_ti_stenocold_cold,pt_ti_stenocold_cold_cool,pt_ti_cowa_warm_stenowarm,pt_ti_warm_stenowarm
SampWA_5810_1,530,66,2,9,25,8,0,16,6,0,11,36,14,8,0.566037736,7.735849057,52.45283019,13.77358491,0,16.79245283,8.679245283,0,8.301886792,60.75471698,22.45283019,13.77358491,3.03030303,13.63636364,37.87878788,12.12121212,0,24.24242424,9.090909091,0,16.66666667,54.54545455,21.21212121,12.12121212
SampWA_5811_1,519,43,0,1,14,8,0,11,6,3,1,15,14,8,0,0.192678227,24.47013487,58.76685934,0,10.01926782,4.431599229,2.119460501,0.192678227,24.6628131,63.19845857,58.76685934,0,2.325581395,32.55813953,18.60465116,0,25.58139535,13.95348837,6.976744186,2.325581395,34.88372093,32.55813953,18.60465116
SampWA_5812_1,625,42,0,2,7,15,1,9,7,1,2,9,23,16,0,0.8,6.88,58.88,0.48,23.52,9.28,0.16,0.8,7.68,68.64,59.36,0,4.761904762,16.66666667,35.71428571,2.380952381,21.42857143,16.66666667,2.380952381,4.761904762,21.42857143,54.76190476,38.0952381
SampWA_5814_1,557,43,0,3,18,6,0,12,3,1,3,21,9,6,0,0.538599641,33.03411131,21.90305206,0,42.01077199,1.97486535,0.538599641,0.538599641,33.57271095,23.87791741,21.90305206,0,6.976744186,41.86046512,13.95348837,0,27.90697674,6.976744186,2.325581395,6.976744186,48.8372093,20.93023256,13.95348837
SampWA_5815_1,541,43,1,9,17,0,0,10,4,2,10,27,4,0,0.739371534,43.06839187,41.5896488,0,0,8.87245841,4.621072089,1.109057301,43.8077634,85.3974122,4.621072089,0,2.325581395,20.93023256,39.53488372,0,0,23.25581395,9.302325581,4.651162791,23.25581395,62.79069767,9.302325581,0
SampWA_5816_1,529,30,0,0,4,13,2,9,2,0,0,4,17,15,0,0,9.451795841,61.62570888,5.482041588,13.04347826,10.39697543,0,0,9.451795841,77.5047259,67.10775047,0,0,13.33333333,43.33333333,6.666666667,30,6.666666667,0,0,13.33333333,56.66666667,50
SampWA_5817_1,523,43,0,2,8,15,0,11,6,1,2,10,21,15,0,0.573613767,5.736137667,34.60803059,0,14.34034417,44.35946463,0.382409178,0.573613767,6.309751434,78.96749522,34.60803059,0,4.651162791,18.60465116,34.88372093,0,25.58139535,13.95348837,2.325581395,4.651162791,23.25581395,48.8372093,34.88372093
SampWA_5818_1,518,62,1,4,23,10,0,13,10,1,5,28,20,10,0.193050193,8.88030888,38.8030888,9.459459459,0,22.77992278,19.69111969,0.193050193,9.073359073,47.87644788,29.15057915,9.459459459,1.612903226,6.451612903,37.09677419,16.12903226,0,20.96774194,16.12903226,1.612903226,8.064516129,45.16129032,32.25806452,16.12903226
SampWA_5819_1,416,40,2,6,18,0,0,13,0,1,8,26,0,0,1.923076923,14.42307692,61.05769231,0,0,21.15384615,0,1.442307692,16.34615385,77.40384615,0,0,5,15,45,0,0,32.5,0,2.5,20,65,0,0
SampWA_5820_1,564,33,0,3,11,8,0,7,4,0,3,14,12,8,0,1.418439716,13.82978723,25.17730496,0,45.39007092,14.18439716,0,1.418439716,15.24822695,39.36170213,25.17730496,0,9.090909091,33.33333333,24.24242424,0,21.21212121,12.12121212,0,9.090909091,42.42424242,36.36363636,24.24242424
SampWA_5821_1,576,38,0,1,4,17,0,11,5,0,1,5,22,17,0,0.173611111,4.340277778,71.35416667,0,21.70138889,2.430555556,0,0.173611111,4.513888889,73.78472222,71.35416667,0,2.631578947,10.52631579,44.73684211,0,28.94736842,13.15789474,0,2.631578947,13.15789474,57.89473684,44.73684211
SampWA_5822_1,540,46,0,0,6,18,1,14,5,2,0,6,24,19,0,0,4.444444444,53.33333333,0.185185185,39.62962963,2.037037037,0.37037037,0,4.444444444,55.55555556,53.51851852,0,0,13.04347826,39.13043478,2.173913043,30.43478261,10.86956522,4.347826087,0,13.04347826,52.17391304,41.30434783
SampWA_5823_1,676,61,0,0,12,21,1,17,5,5,0,12,27,22,0,0,14.49704142,50.44378698,1.183431953,19.52662722,2.514792899,11.83431953,0,14.49704142,54.14201183,51.62721893,0,0,19.67213115,34.42622951,1.639344262,27.86885246,8.196721311,8.196721311,0,19.67213115,44.26229508,36.06557377
SampWA_5824_1,547,32,0,2,12,5,0,9,3,1,2,14,8,5,0,0.731261426,16.08775137,3.839122486,0,23.76599634,55.39305302,0.182815356,0.731261426,16.8190128,59.2321755,3.839122486,0,6.25,37.5,15.625,0,28.125,9.375,3.125,6.25,43.75,25,15.625
SampWA_5825_1,581,49,2,10,17,7,0,10,2,1,12,29,9,7,5.335628227,21.85886403,41.48020654,9.122203098,0,19.10499139,2.925989673,0.17211704,27.19449225,68.6746988,12.04819277,9.122203098,4.081632653,20.40816327,34.69387755,14.28571429,0,20.40816327,4.081632653,2.040816327,24.48979592,59.18367347,18.36734694,14.28571429
SampWA_5826_1,539,50,1,7,17,8,0,12,4,1,8,25,12,8,0.371057514,3.525046382,39.70315399,4.26716141,0,14.47124304,37.47680891,0.185528757,3.896103896,43.59925788,41.74397032,4.26716141,2,14,34,16,0,24,8,2,16,50,24,16
SampWA_5828_1,170,26,0,4,10,3,0,6,2,1,4,14,5,3,0,34.11764706,25.88235294,2.352941176,0,18.23529412,18.82352941,0.588235294,34.11764706,60,21.17647059,2.352941176,0,15.38461538,38.46153846,11.53846154,0,23.07692308,7.692307692,3.846153846,15.38461538,53.84615385,19.23076923,11.53846154
